house_id,house_region,house_title,house_price,house_info,house_link
25702454,宝善公寓,宝善公寓 东边套两房朝南带电梯双阳台 精装修D铁口,390万,2室1厅1卫·76.15  平米  ·  南  ·  低楼层/24层  ·  精装  ·  2008年建,https://hz.5i5j.com/ershoufang/25702454.html
90154626,宝善公寓,宝善公寓 西边套好房源，户型方正，带双阳台，电梯房。,420万,2室1厅1卫·77.35  平米  ·  西  ·  高楼层/24层  ·  精装  ·  2008年建,https://hz.5i5j.com/ershoufang/90154626.html
90187873,水岸城市花园,水岸城市花园 07年次新房 人车分流 婚房装修 房东诚售,484万,3室3厅2卫·86.51  平米  ·  南北  ·  高楼层/20层  ·  精装  ·  2007年建,https://hz.5i5j.com/ershoufang/90187873.html
90187870,水岸城市花园,水岸城市花园 07年次新房 人车分流 精装修  房东诚售,418万,3室3厅2卫·73.36  平米  ·  南北  ·  高楼层/20层  ·  精装  ·  2007年建,https://hz.5i5j.com/ershoufang/90187870.html
90177692,水岸城市花园,水岸城市花园 两房朝南 婚房装修 人车分流 房东诚售,400万,2室2厅1卫·73.36  平米  ·  南北  ·  低楼层/20层  ·  精装  ·  2007年建,https://hz.5i5j.com/ershoufang/90177692.html
90147326,水岸城市花园,水岸城市花园 阳光无遮挡  电梯房两房 看房方便,395万,2室2厅1卫·73.36  平米  ·  南  ·  低楼层/20层  ·  精装  ·  2007年建,https://hz.5i5j.com/ershoufang/90147326.html
37296026,水岸城市花园,水岸城市花园 户型正气 房东诚售 南北通透 人车分流,360万,1室2厅1卫·68.45  平米  ·  东南  ·  低楼层/15层  ·  简装  ·  2007年建,https://hz.5i5j.com/ershoufang/37296026.html
90142532,水岸城市花园,水岸城市花园 户型正气 南北通透 花园式小区 房东诚卖,400万,1室2厅1卫·76.51  平米  ·  南  ·  中楼层/20层  ·  简装  ·  2007年建,https://hz.5i5j.com/ershoufang/90142532.html
39160004,凤起都市花园,凤起都市花园 电梯 年代新 青蓝 3房,375万,3室2厅1卫·88.04  平米  ·  东西  ·  中楼层/18层  ·  简装  ·  2000年建,https://hz.5i5j.com/ershoufang/39160004.html
29136559,国都公寓,国都公寓 商品房，二房朝南等大，双阳台，视野好，随时可看房,430万,2室1厅1卫·72.25  平米  ·  南  ·  顶层/16层  ·  精装  ·  2000年建,https://hz.5i5j.com/ershoufang/29136559.html
90207835,国都公寓,国都公寓 二房朝南，小区年代新，房东诚心出售，看房方便。,398万,2室1厅1卫·65.2  平米  ·  南  ·  中楼层/18层  ·  简装  ·  2001年建,https://hz.5i5j.com/ershoufang/90207835.html
90145563,国都公寓,国都公寓 边套，朝南采光好。不占学籍，看房方便，诚售,330万,1室2厅1卫·52.16  平米  ·  西南  ·  高楼层/17层  ·  简装  ·  2002年建,https://hz.5i5j.com/ershoufang/90145563.html
39592450,国都公寓,国都公寓 二房朝南，不沿马路，房东诚心出售，长寿桥，价格可谈,315万,2室1厅1卫·53.13  平米  ·  南  ·  中楼层/18层  ·  精装  ·  2000年建,https://hz.5i5j.com/ershoufang/39592450.html
90131313,国都公寓,国都公寓 东边套，采光好，全明户型，小区年代新。,290万,2室1厅1卫·53.02  平米  ·  东北  ·  中楼层/17层  ·  简装  ·  2000年建,https://hz.5i5j.com/ershoufang/90131313.html
90081867,国都公寓,满五年 没有双税的 边套 采光不错 对小区花园,475万,2室1厅2卫·84.19  平米  ·  西  ·  低楼层/16层  ·  简装  ·  2002年建,https://hz.5i5j.com/ershoufang/90081867.html
90216164,国都公寓,国都公寓 对小区花园，东边套，户型正气，满五年。诚心出售,618万,3室2厅2卫·88.35  平米  ·  南北  ·  底层/7层  ·  精装  ·  2002年建,https://hz.5i5j.com/ershoufang/90216164.html
90157801,松木场河东,松木场河东  2房一厅 房东诚心卖 看房方便，带院子南北通透,398万,2室1厅1卫·62.15  平米  ·  南  ·  底层/6层  ·  精装  ·  1990年建,https://hz.5i5j.com/ershoufang/90157801.html
90112755,松木场河东,松木场河东 两房朝南一房朝北 阳光充足 户型正气 看房随时,400万,3室1厅1卫·68.85  平米  ·  南  ·  底层/5层  ·  简装  ·  1987年建,https://hz.5i5j.com/ershoufang/90112755.html
90191416,松木场河东,松木场河东 一房一北 南北通风全明户型 上学近 采光好,417万,2室1厅1卫·66.09  平米  ·  南  ·  高楼层/6层  ·  简装  ·  1988年建,https://hz.5i5j.com/ershoufang/90191416.html
90155052,松木场河东,松木场河东 保小全明小两房，南北通风 楼层好采光佳，诚心出售,345万,2室1厅1卫·54.39  平米  ·  南  ·  低楼层/5层  ·  精装  ·  1988年建,https://hz.5i5j.com/ershoufang/90155052.html
90163570,松木场河东,松木场河东 朝南 阳光好 位置好 保小旁边，西湖近,310万,2室1厅1卫·55.09  平米  ·  南  ·  顶层/6层  ·  简装  ·  1988年建,https://hz.5i5j.com/ershoufang/90163570.html
90150462,松木场河东,松木场河东 两房朝南 客厅带窗户 户型方正，楼层好位置好。,370万,2室1厅1卫·55.2  平米  ·  南  ·  低楼层/6层  ·  精装  ·  1990年建,https://hz.5i5j.com/ershoufang/90150462.html
39029949,松木场河东,松木场河东 带装修的2房，一南一北的户型 采光从早到晚,350万,2室1厅1卫·52.57  平米  ·  南北  ·  中楼层/5层  ·  精装  ·  1990年建,https://hz.5i5j.com/ershoufang/39029949.html
90061434,松木场河东,松木场河东 保小 小三房 中间楼层 不占学籍 精装修,410万,3室1厅1卫·61.02  平米  ·  南北  ·  中楼层/6层  ·  精装  ·  1988年建,https://hz.5i5j.com/ershoufang/90061434.html
39568582,松木场河东,松木场河东 房东诚心卖 两套一起卖 采光好 带阳光棚,365万,2室1厅1卫·65.72  平米  ·  南北  ·  底层/6层  ·  简装  ·  1990年建,https://hz.5i5j.com/ershoufang/39568582.html
90172412,松木场河东,松木场河东 两房朝南带院子全明东边套 得房率高 方便看房,425万,3室1厅1卫·67.49  平米  ·  南北  ·  底层/5层  ·  简装  ·  1986年建,https://hz.5i5j.com/ershoufang/90172412.html
90158008,松木场河东,松木场河东 2房朝南一房朝北的户型 方正 大套，有赠送面积,495万,2室2厅1卫·84.31  平米  ·  南北  ·  顶层/4层  ·  简装  ·  1986年建,https://hz.5i5j.com/ershoufang/90158008.html
90126759,松木场河东,松木场河东 带50方大院子 两房朝南全明户型，位置好看房方便,380万,3室1厅1卫·53.74  平米  ·  南  ·  底层/6层  ·  简装  ·  1989年建,https://hz.5i5j.com/ershoufang/90126759.html
32140388,松木场河东,松木场河东 两房一厅 位置好采光佳 看房方便 诚心出售,350万,2室2厅1卫·56.33  平米  ·  南  ·  顶层/6层  ·  简装  ·  1987年建,https://hz.5i5j.com/ershoufang/32140388.html
90067178,松木场河东,松木场河东 保小 两房 采光好中间楼层 看房方便,410万,2室1厅1卫·62.67  平米  ·  南  ·  中楼层/6层  ·  毛坯  ·  1990年建,https://hz.5i5j.com/ershoufang/90067178.html
90151959,松木场河东,松木场河东 两房朝南采光视野好，得房率高，房东诚心卖，方便看,285万,2室1厅2卫·55.76  平米  ·  南  ·  高楼层/6层  ·  简装  ·  1987年建,https://hz.5i5j.com/ershoufang/90151959.html
90049129,松木场河东,松木场河东 保小旁 精装两房全明 房东诚心卖 看房一般都方便,405万,2室1厅1卫·59.89  平米  ·  南  ·  顶层/6层  ·  精装  ·  1988年建,https://hz.5i5j.com/ershoufang/90049129.html
36359018,松木场河东,松木场河东 保小 3房朝南带院子 两套一起卖 采光好,350万,2室1厅1卫·57.7  平米  ·  南北  ·  底层/6层  ·  简装  ·  1990年建,https://hz.5i5j.com/ershoufang/36359018.html
